fecha,negocio,rubro,comuna,whatsapp,instagram_web,contacto,estado,ultimo_mensaje,proximo_paso,fecha_proximo_paso,observaciones
2026-05-13,PCmasterOk,PC y notebooks,San Miguel,+56972160489,https://pcmasterok.cl/,No identificado,Nuevo,,Enviar mensaje inicial,2026-05-13,
2026-05-13,COMPUCAM,PC notebooks consolas impresoras,Santiago RM,+56984250298,https://compucam.cl/,No identificado,Nuevo,,Enviar mensaje inicial,2026-05-13,
2026-05-13,HM Electronica San Bernardo,Electronica multimarca,San Bernardo,+56972153024,https://www.electronicasanbernardo.cl/,No identificado,Nuevo,,Enviar mensaje inicial,2026-05-13,
2026-05-13,Infodata,Computadores notebooks impresoras,San Bernardo,+56936108613,https://infodata.cl/,No identificado,Nuevo,,Enviar mensaje inicial,2026-05-13,
2026-05-13,CyberSOS,PC y notebooks,Santiago RM,+56945190107,https://cyber-sos.netlify.app/,No identificado,Nuevo,,Enviar mensaje inicial,2026-05-13,
2026-05-13,Rapidtec,Computadores a domicilio,Santiago Centro,+56979651206,https://rapidtec.cl/contacto/,No identificado,Nuevo,,Enviar mensaje inicial,2026-05-13,
